"judul_webtoon","sinopsis_webtoon"
"It Was a Mistake, Grand Duke!","Selama 7 tahun Vivian fangirling pada Grand Duke Glann, bahkan satu kamarnya penuh dengan gambar Grand Duke tersebut!
Saat dia hampir kena tuduh menculik Grand Duke karena tiba-tiba saja dia ada dikamarnya, mereka pun memutuskan untuk.. pacaran kontrak?! Apa ini tak salah?!"
"Fluffy Tummy","Hidupku berubah total sejak kucing fluffy ini hadir di hidupku...!"
"SENGKLEK FAMILY","Menceritkan kisah tentang tingkah laku absurd dan receh warga kota Loksemewew "
"Loser Coin","“Pernahkah Anda membayangkan mengubah hidup Anda dengan Koin Kripto?”
Euijin dan Junhyeong yang sudah menyerah untuk hidup memutuskan untuk melakukan pinjaman uang melalui rentenir dan menikmati kemewahan pertama dan terakhir mereka.
Tetapi tepat sebelum mengakhiri hidup mereka, Kripto 'Loser Coin', yang mereka beli sebagai lelucon, mulai melonjak karena alasan yang tidak diketahui. Nasib merekapun berubah..."
"SUPER CASTING: BTS","""Saat itu, aku ditarik oleh kekuatan yang tidak diketahui."" Apa yang akan terjadi pada BTS?
Sambil nunggu rilis webtoon ""7FATES: CHAKHO"", yuk cek webtoon event BTS dulu!"
"The Nuna at Our Office","Manajer Son, seorang pria pegawai kantoran yang menjadi dekat dengan Manajer Ahn, seorang wanita yang lebih tua darinya. Setelah beberapa kali berinteraksi, Manajer Son mulai menyukai Manajer Ahn yang cantik, cerdas, serta berpembawaan dewasa. Tetapi belakangan dia mengetahui Manajer Ahn telah memiliki anak dan suami. Anehnya, bukannya semakin menjauh, hubungan mereka semakin dekat."
"A Fake Affair","Ketika bertemu seorang pemuda tampan di pesawat, Shoko mengaku bahwa dirinya sudah menikah. Tetapi bukannya menjauh, si pemuda tersebut tidak peduli dan mengajaknya selingkuh saja!"
"The Double Agent","Sasha, seorang perawat di medan perang, harus berkorban menjadi sekretaris di negara musuh sebagai agen mata-mata. Namun dia justru tertangkap oleh Mayjen negara musuh bernama Johann. Apa dia akan bisa bertahan hidup di hadapan iblis berwajah malaikat itu?"
"When Monday Met Sunday","Sebuah kisah komedi perkantoran, dimana Sunday berangan-angan untuk menjadi perencana profesional yang sukses. Sedangkan, Monday adalah orang kaya yang dipaksa menjadi karyawan biasa. Dua orang berbeda yang terpaksa bekerja sama! apa yang akan terjadi, ya...?!"
"Minor Scandal","Pada suatu malam saat Han Shinwoo merayakan awal mula karirnya menjadi guru di SMA Swasta Daehan, ia bertemu dengan seorang wanita yang mengaku bernama Jin Nahyun. Setelah melewati waktu bersamanya, Han Shinwoo jatuh cinta. Tapi ternyata, Jin Nahyun selama ini berbohong. Ternyata ia adalah Jin Gahyun? Salah satu murid kelas 3 di SMA Swasta Daehan! "
"Taming the Marquess","Rara yang datang ke sebuah pelelangan, akhirnya menyelamatkan seorang bocah laki-laki yang dilelang di sana. 
Namun siapa sangka jika bocah ini ternyata Marquess gila yang ditakut semua orang?! Tapi kenapa dia jadi kecil begini?!"
"Guardians of the Lamb","Yang Hari adalah seorang wanita ceria yang menjalani hidupnya sebagai aktris tanpa nama.
Hingga suatu hari hidupnya didatangi kejadian tak terduga! Yang Hari diculik dan diselamatkan oleh orang yang mengaku telah ditugaskan menjaganya.
Perlahan-lahan, ingatan masa lalu yang telah Yang Hari kubur dalam-dalam semakin terbuka. Ke manakah ingatan ini akan membawa Yang Hari?
"
"Night of Silence","[PUBG UNIVERSE] Novelis terkenal Logan meninggal meninggalkan novel misterius yang belum terselesaikan. Putrinya, Lea berusaha mengungkap kebenaran di balik kematian ayahnya dan kisah-kisah yang disembunyikan penduduk desa tempat tinggalnya dengan menggunakan manuskrip novel ayahnya"
"The Retreats","[PUBG UNIVERSE] The Retreats, surga di dunia di mana hanya 1% umat manusia yang bisa hidup di dalamnya. Seorang anak laki-laki dari The Retreats bernama Edward jatuh ke dalam tipu muslihat dan bertukar nasib dengan seorang anak dari Brine yang kumuh.
Jatuh ke dalam jurang, dia harus bertahan dan berjuang untuk mendapatkan semuanya kembali!"
"100","[PUBG UNIVERSE] Hoyoung Cheon adalah seorang agen badan intelijen negara, ditugaskan untuk mengikuti Battlegrounds, sebuah permainan pembunuhan ilegal. Namun, tugas Hoyoung Cheon adalah untuk mencari anggota MPR, Naksu Kim. Di antara 100 terpidana mati, apakah Cheon dapat bertahan hidup melawan musuh-mushnya dan menjalankan misinya?!"
"Stand Up, Mr. President!","Stand up komedian jadi Presiden?! Kok bisa? Ikuti kisah Khai Obhad dan ajudannya, Nika Yukita dalam mengemban tugas negara!"
"No Loyalty for a Villainess","Selama ini Charlotte telah mendedikasikan hidupnya untuk Albert, hingga Albert dapat menjadi kaisar. Namun, balasan yang ia dapatkan adalah pengkhianatan hingga Charlotte dipenjarakan sebagai seorang ‘penjahat’.

Hingga suatu hari, seseorang bernama Ruslan datang untuk membebaskannya.

“Apa kau bisa membunuh kaisar?”

Ini adalah cerita balas dendam Charlotte.
"
"Twilight Poem","Putri Soru selalu hidup dari menderita karena dirinya yang selalu dihantui dan siapapun yang dekat padanya akan terkena malapetaka. Tapi ketika dia bertemu dengan Jahyeon, seketika semua hantu yang mendekatinya menghilang karena aura Jahyeon yang bagai matahari. 
Apakah Putri Soru bisa mulai mendapatkan kebahagiannya?"
"QUESTISM","Kim Soohyun selalu merasa lemah dan tak bisa melawan teman yang berbuat jahat padanya.. Tapi tiba-tiba muncul papan quest di depannya, dan dia mulai bisa mendapatkan banyak kemampuan dari menyelesaikan quest tersebut!"
"My Love Affair","Jane menyukai seorang pria yang bekerja di sebuah toko buku bernama Davin. Dia bahkan hingga kerja di sana demi dekat dengannya dan ingin menjadi pacarnya. Tapi.. ternyata Davin sudah memiliki pacar! Apa Jane akan tetap ingin menjalin hubungan ini...? "
"Celebrity Roommate","Cha Eunmyeong meninggalkan rumah setelah berhadapan dengan ibu tirinya.
Akhirnya, Eunmyeong tidak punya pilihan lain selain tinggal di rumah kakak Huiyeong, sahabatnya, yang telah dikosongkan sementara waktu.

Tapi ternyata... kakak Huiyeong kembali ke rumah tanpa pemberitahuan?! Terlebih lagi dia adalah Je Junyeong si artis top Korea?!
"
"Dilarang Pacaran!","Di sekolah ini, ga boleh ada yang pacaran!!!"
"Murim RPG Simulation","Sebuah window pilihan muncul di depan matamu, tanpa mengetahui masa depan yang akan terjadi. Di dunia di mana hidup dan mati di tanganmu, kita tentunya akan mencari jalan yang terbaik. Kau siap membuat pilihanmu?"
"Pacarku Pemain Sinetron","Janet, teman dekat dan sekantor yang kusukai ini ternyata pemain sinetron! Kalau dia jadi pacarku.. apa kisah cintaku juga akan seperti sinetron?!"
"Our Beloved Summer","Yeonsu si ranking satu menjadi tokoh utama dalam film dokumenter soal anak SMA di Korea dengan Woong si ranking terakhir. Sifat mereka yang bertentangan langsung menimbulkan ketegangan di antara mereka. Tetapi, seiring berjalannya waktu, mereka mulai menemukan sisi lain yang tidak diduga dan membuat momen yang mereka lalui jadi tak terlupakan."
"Kompor","Kisah-kisah dari para Author Webtoon, penuh dengan keluh-kesah, penghianatan atau bahkan pelakor.
Amarah di kompilasi kali ini sangat panas... sepanas di kompor!!"
"Sera, I'm Sorry: Welcome to Our Galaxy","Tidak ada yang sakit... Tidak ada yang terluka...
Bagaimana kalau kita bisa hidup seperti mahasiswa biasa di suatu dunia baru?
Dan apa yang akan terjadi jika Sera dan Hyocan bertemu lagi di dunia tersebut?! Inilah kisah kocak para mahasiswa yang terungkap kembali!"
"So You","Drama thriller yang menegangkan! Cinta Yeosin kepada suaminya begitu besar sehingga dia menjadi selalu curiga dan ketakutan kehilangan sang suami. Ini membuat Yeosin menjadi seorang wanita berbahaya yang super posesif dan rela melaklukan apapun untuk mempertahaknkan suami di sisinya. Apakah cinta mereka akan bertahan atau Yeosin harus menghadapi kenyataan pahit?"
"What a Boss Wants","Kwon Dohyuk, seorang pria dengan penampilan, kekayaan, kemampuan, dan pesona yang mematikan. Tapi kenapa tiba-tiba dia mendekatiku?! Kalau begini terus, lama kelamaan identitas yang selama ini aku rahasiakan bisa ketahuan!"
"Yuri's Palace","Yuri yang menjadi putri mahkota terbuang, akhirnya naik menjadi kaisar wanita di Kekaisaran Woo. Di mana hanya wanita yang bisa menjadi Kaisar dan Raja. 
Namun untuk mempertahankan kekuasaannya, satu permaisuri pria tidak cukup. Apalagi jika permaisuri itu justru ingin menjadi Kaisar. Yuri pun akhirnya mencari selir pria baru?!"
"Like Mother, Like Daughter","""Aku rasa ibuku adalah seorang pembunuh...""
Relasi mengerikan antara ibu yang perfeksionis dengan anak yang sangat curiga dengan hal hal di sekitarnya!
"
"She Wants You","Hari itu aku bertemu dua gadis dari masa lalu, Irena yang misterius dan satu lagi, cewek dari alam lain!
Apa yang sebetulnya terjadi?!
Apa kehadiran mereka ada kaitannya dengan ingatanku yang hilang 4 tahun lalu?
"
"Marry My Idol","Lova, seorang Fangirl yang merasa dirinya mendapat kesempatan untuk mendekati Idola tercintanya, namun ternyata ada rahasia dibalik sahabat dan sang idola."
"The Lone Necromancer","Pekerjaan apa yang akan kau pilih untuk bertahan hidup saat dunia hancur oleh monster-monster yang tiba-tiba bermunculan?!
Setelah memilih 'Necromancer' sebagai pekerjaannnya, Sungwoo dapat menjadikan monster yang telah ia kalahkan menjadi pengikutnya!"
"The King and the Paladin","Calliope, seorang putri raja yang berani menakhlukkan kerajaannya sendiri demi menjadi raja dan menikah dengan orang yang dia sukai?! Cinta seorang raja perempuan dan paladin yang dulu dicintainya. 
"
"Hellbound","Sebuah fenomena supranatural yang terjadi di sekitar umat manusia, dan tidak ada yang tahu apakah ini sebuah keajaiban atau kutukan. Inilah Neraka yang diciptakan oleh para orang yang tidak dapat berkabung dengan realita mengenaskan. Direktur ""Train to Busan"", Yeon Sang-ho dan Webtoonist Choi Gyu-Seok, bertemu!"
"The Fox Club","Cherry Shin, seorang cewek sempurna yang tiba-tiba datang ke kehidupan Onyu Park yang biasa saja dan menjadi sahabat akrab. Namun saat keduanya memasuki SMA, mereka berhadapan dengan klub idola rubah SMA Sangmok yang diidolakan seluruh siswa! Kisah drama pertemanan remaja perempuan yang mendebarkan!"
"Phone Addict","Handphone tua milik Joo Damu tiba-tiba jadi manusia?! Bagaimana Joo Damu menjalani kesehariannya mulai sekarang?!"
"Date First, Love Later","Gaeun yang dikejar-kejar orang yang tidak dia sukai dan Jaerim yang tertimpa rumor aneh tentang hubungannya. Keduanya butuh mencari jalan keluar dari masalah mereka. Bagaimana kalau mereka pura-pura pacaran saja?!"
"Last Time Love","Ini adalah kisah tentang seorang makhluk yang mencintai seorang manusia biasa. Namun kisahnya ditentang oleh semesta."
"Beauty in a Click","Seorang Iblis muncul didepanku yang menderita karena aku memiliki penampilan yang buruk! Apakah mungkin aku  bisa menjadi orang yang cantik dengan satu klik? CUTE, SEXY, PURE, DAN LUXURY! Aku bisa berubah jadi apapun! Kupikir aku akan senang, tapi... ternyata bukan begitu ya...?"
"ONE+one","Kedua orang ini tinggal bersama secara tiba-tiba.
Bagaimana kisah cinta kedua orang ini yang punya pandangan dunia, kehidupan yang jauh berbeda?
Kisah cinta yang bikin kamu tersenyum sedang dimulai!"
"The Savage World","Selama 3 tahun, Lee Gijin telah hidup sebagai sekretaris Direktur Joo Jinhun dari Xitec Trading tanpa kebebasan sedikit pun dalam menentukan pilihannya. Dengan penjualan di Xitec Group yang memburuk, dia dipindahkan untuk membantu Presiden Direktur Joo Kanghyun yang sikapnya asal-asalan. Presiden Direktur Joo Kanghyun yang sulit diatur ini mungkin terbukti menjadi tantangan terbesar Lee Gijin dalam menjalankan tugasnya sebagai sekretaris."
"Trapped","""Hanya seminggu sekali saja, bawa orang itu ke tempat yang aku suruh.""
Yunsu yang punya kekuatan misterius dan Chaea yang kena jebakan Yunsu.
Apakah Chaea bisa melarikan diri dari jebakan itu?"
"Ocean's Promise","Awalnya Seroja menganggap makhluk itu hanyalah bagian dari mitos dan dongeng untuk menghibur anak-anak. Namun semuanya berubah saat ia melihatnya dengan mata kepala sendiri. Ia mulai menyadari ikatan lain di antara mereka, selain janji dan rahasia gelap di baliknya."
"Musim Semi Pertama Bersamamu","Sonya, seorang gadis Rusia yang menyukai fashion dan K-pop datang ke Korea sebagai siswa pertukaran pada hari musim semi yang hangat. Dalam cerita Sonya tentang adaptasi romantic selama 1 tahun dengan kehidupan Korea dengan keluarga Korea.
Ini adalah branded webtoon dari 2021 MOKKOJI KOREA "
"Diary Mystery","Mata batin yang selama ini tertutup, kini terbuka lagi. Hantu-hantu pun jadi mulai bermunculan di hadapanku.. dan mereka memintaku untuk mengungkapkan misteri kematian mereka?! "
"The Will to Share","Awalnya semua murid di kelas Sol senang dengan aplikasi Pandora yang bisa menjawab pertanyaan mereka. Tetapi, aplikasi tersebut malah menyebarkan rahasia terburuk dari teman-teman sekelas Sol, bahkan Rei sepupunya sendiri. Rahasia ini bisa merusak hidup seseorang selamanya jika tidak dihentikan."
"Tell Me a Creepy Story!","Kumpulan cerita seram yang dapat membuat bulu kudukmu berdiri! Apakah kau berani baca komik ini di malam hari? "
"Pelayan Satu Semester","Alih-alih mencoba mengungkapkan perasaannya pada gadis yg ia sukai, Revan justru mendapat kesialan karena surat cintanya ditemukan oleh teman gadis yg disukainya. Karena tidak ingin surat itu bocor ia terpaksa harus menjadi pelayan Yesika selama satu semester!"
"Daytime Star","Yura Hwang, artis yang sudah berkarir 7 tahun tapi dari dulu hanya dapat peran pembatu saja. Orang yang dia kencani pun mengkhianati dan menikah dengan orang lain!
Semuanya terasa sangat buruk, sampai akhirnya dia bertemu kembali dengan aktor senior ternama di drama terbarunya. 
Apakah perjalannya menjadi bintang utama akan tercapai?"
"Sickomik","Empat sahabat receh ini bakal bikin kalian geleng-geleng kepala sama kelakuannya!"
"Double Click","Jiho, adalah pemain rank nomor 1 di dunia untuk One Sword, game yang terkenal dengan tingkat kesulitannya yang tinggi.
Game yang dia pikir layanannya telah terhenti, tiba-tiba muncul lagi di hadapannya!"
"Arum Daun","Kisah seorang gadis yang berteman dengan sosok Alam. Apakah ia cukup kuat untuk menghadapi kehidupannya yang penuh dengan kemalangan? Ataukah ia akan memerlukan bantuan Sang Alam?"
"An Uneasy Relationship","Rekan kerja 'Ira' dan 'Eundo' terbangun di ranjang yang sama setelah minum bir untuk menghibur satu sama lain setelah mereka patah hati. Dua orang ini dari rekan kerja menjadi sangat canggung setelah malam tersebut!

Tunggu dulu, memangnya apa yang terjadi di antara kita?!"
"My Three Annoying Brothers","""Tiga anak laki-laki populer di sekolah adalah kakakku!""
Seumur hidupnya, Haeju tidak pernah mendapatkan kehidupan normal yang diinginkannya karena kehadiran ketiga kakaknya yang tampan dan populer. Karena hal tersebut, ketika memasuki SMA Haeju memutuskan untuk tidak memberitahukan relasinya dengan ketiga kakaknya kepada siapapun. Mampukah Haeju mendapatkan kehidupan normal yang didamba-dambakannya?"
"Becoming You","Setelah menghabiskan malam bersama, Ailyn bertukar tubuh dengan Derick sang Putra Mahkota. Diam-diam, AIlyn memang merencanakan pertukaran itu untuk membebaskan Derick dari sebuah kutukan, sekaligus menyelamatkan keluarganya sendiri. Sialnya kutukan itu tidak punah begitu saja, malah mereka bisa tiba-tiba bertukar tubuh tanpa peringatan. Bagaimana caranya kembali ke tubuh semula selamanya?"
"Fight Hard","Ada rumor lama di Macheon.
Ada desas-desus bahwa SMA Myeongsong adalah pusat pelatihan preman.
Tentu saja, itu masih hanya rumor.

Maka dari itu aku datang untuk mencari tahu."
"Change Me","Bagaimana jika kamu bisa hidup dengan wajah yang diinginkan, dengan syarat mendaftarkan diri pada asuransi jiwa yang mencurigakan? Curi wajah orang lain untuk mengubah hidupmu!"
"The Holy Idol","Aku Rembrary, utusan Tuhan yang dicintai semua orang, seorang Pendeta Agung yang suci!
Saat bertarung melawan raja iblis yang menghancurkan duniaku, aku malah terbangun dalam tubuh idol Korea yang tidak terkenal!

Bagaimana caranya aku kembali?! Apakah aku harus menyesuaikan hidup sebagai idol!? "
"Sierra","Ketika hanya tinggal pilihan tragis yang bisa dipilih Sierra, apakah dia akan memilih kebahagiaan dirinya atau kebahagiaan orang lain?"
"Lovers of the Red Sky","Pada malam titik balik matahari musim dingin, Hong Cheon Gi yang lebih dikenal dengan panggilan Bandi, seorang pelukis dari Kelompok Baekyu, mendapati seorang pria yang jatuh dari langit.

Ha Ram, seorang pria yang menjadi buta setelah terlibat dalam kecelakaan ketika ia masih kecil,
setelah bertemu Hong Cheon Gi dia menemukan rahasia di sekitar matanya…
"
"An Entanglement","Pria yang kukagumi tiba-tiba kehilangan istrinya. Rasanya aku ingin mendekatinya- eh, bentar, Gila! Aku kan sudah menikah...!"
"The Secret of the Friendly Duke","Noelle yang terus menderita di kediaman keluarga Viscount, akhirnya bisa keluar dengan bantuan teman rahasianya yang ternyata seorang Duke bernama Zion?!
Noelle yang mahluk campuran ini pun akhirnya tinggal bersama Zion... Tapi.. sepertinya ada yang disembunyikan teman rahasianya ini..."
"Hidden Beauty Formula","Kisah Rara yang mengejar mimpi untuk memiliki kulit wajah glowing! Apa kamu tahu cara mendapatkan hal tersebut?"
"Perfect Marriage Revenge","Suamiku jatuh cinta pada adikku.
Aku mengetahui hal itu di hari ulang tahunku dan di hari itu pula aku meninggal. 
Namun, aku kembali ke satu tahun yang lalu!
Aku putuskan aku akan balas dendam dengan menikahi calon suami adikku!
"
"Daily JoJo","DARI AUTHOR YUMI'S CELL!
Eunjo, seorang pekerja kantoran biasa yang menunda pekerjaan hari ini sampai besok.
Sementara Jowan adalah orang yang mengatur segala sesuatunya secara sempurna dan terencana. Apakah mereka dapat menjalin hubungan rekan kerja yang baik?
"
"Gadis Pembohong","Azki dikenal di sekolah sebagai anak yang pintar, cantik, pengkoleksi barang mahal dan tentu saja anak konglomerat.
Tapi sebenarnya itu semua... hanya bohong belaka?!"
"CHUBBINESS!","Katanya, cowok pertama kali tertarik melihat cewek lewat fisiknya dulu. Tapi kenapa cowok aneh ini bisa tertarik denganku?!"
"One Day in Seoul","Sebuah virus mengerikan muncul di Seoul! Di hari yang sama Lee Yeongwoo dan teman-teman sekelasnya sedang berwisata ke sana. Mereka terjebak di suasana Seoul yang mencekam, dengan virus berbentuk gelembung-gelembung seperti telur kodok!"
"I'm the Max-Level Newbie","Jinhyuk, satu-satunya pemain game [MENARA UJIAN] yang menyelesaikan sampai akhir meski popularitas game telah menurun. Hingga suatu hari [MENARA UJIAN] menjadi kenyataan, Jinhyuk harus menyelesaikannya dengan segala elemen yang ia ketahui tentang game ini!"
"Monster Duke's Daughter","Lottie tiba-tiba muncul di kediaman Duke Demian dan ternyata Duke itu adalah ayah kandungnya, tapi Duke ini sering disebut sebagai Duke Monster! 
Apakah dia benar-benar monster? Dan kenapa ada novel yang mengatakan kalau Lottie tidak bisa hidup lama?"
"Help Me","Nenekku dibunuh oleh seseorang melalui aplikasi Help Me, aplikasi yang kugunakan untuk mendapatkan bayaran melalui tugas yang diberikan orang lain.

Aku harus mencari tahu siapa di balik tugas itu untuk mencari pelaku yang membunuh nenek!
"
"Welcome on Board","Pekerjaan impian menjadi pramugari yang sudah lama ditunggu-tunggu! Aran bergabung dengan maskapai Air Wing-K setelah terkagum-kagum dengan pramugara Chaehyun yang merawatnya saat dia pingsan di pesawat. Apakah Aran dapat terbang Bersama Chaehyun? Ternyata fantasi dan kenyataan pekerjaan ini sungguh berbeda! 
Sebuah kisah penerbangan dengan pramugari baru Aran, Sunwoo, dan Chaehyun!
"
"Bloody Romance","Karena masalah kesehatan, Hari harus mengurangi berat badannya jika dia ingin membuat konten mukbang kembali! Namun sebanyak apapun dia berusaha, beratnya tidak bisa turun. 

Tapi suatu hari, tiba-tiba teman sekelasnya On Doyun menghisap darahnya... Dan berat badannya berkurang?!
Namun masalahnya, ini baru pertama kalinya Doyun menghisap darah dan dia tak mau lagi melakukannya. Apa yang akan Hari lakukan?"
"Psychic Studies","'Mulai sekarang kamu akan dihipnotis...'
Kim Changyu, laki-laki culun yang menggunakan kemampuan hipnosisnya untuk mendapatkan popularitas di antara wanita, tetapi tidak pernah berhasil seperti yang dia inginkan.
Kisah Kim Changyu, yang berulang kali gagal, kisah yang istimewa namun menyedihkan. Ini bukan lelucon!"
"Momfluencer","Park Juyeon adalah seorang wanita biasa yang menjual produk anak di media sosial, sementara Kim Yehee, teman Juyeon yang ia benci sejak SMA, menikmati kekayaan dan popularitas dengan 700.000 pengikutnya. Akankah kebencian dan obsesi Park Juyeon dapat mengungkap masa lalu Kim Yehee dan menjadi seorang selibriti?"
"His Ruse","Yoon Ina hendak menembak Kak Juhyung yang tampan dan baik hati. Tapi saat aku hendak menembak dengan memberikan surat, surat itu justru diterima kakaknya, Kak Gunho, yang dari dulu sepertinya membenciku!

Dan dia menerima pernyataan cinta suratku?! Aku harus apa?!"
"The Druid of Seoul Station","Suho, kembali ke Bumi setelah seribu tahun menghilang di dunia lain.
Namun, dunia yang dulu ditinggali sekarang telah berubah menjadi dunia kebiadaban dengan munculnya monster-monster!"
"Never-ending Darling","""Aku menemukan tubuhku yang sudah mati di rumah pacarku..."" Era di mana kehidupan dapat diperpanjang melalui teknologi duplikat. Inilah kisah Yoon Haim bersama dengan pacarnya, Ji Geunhoo yang menciptakan teknologi ini."
"Not My Type","Kisah mencari jodoh antara wanita 29 tahun yang sudah terbiasa berpacaran dan seorang pria 29 tahun jomblo yang belum pernah berpacaran! Apakah Cha Euntae yang sudah sering berpacaran dapat jatuh cinta pada Kim Jinhyun si jomblo seumur hidup yang punya fashion sense jelek dan hanya main game di akhir minggu?"
"You and Me","3 tahun semenjak Baek Soyeon, gadis yang selalu membela Han Siah setiap kali ia ditindas, pergi dan sekarang tiba-tiba ia kembali. Perasaan yang dipendam Han Siah masih sama, begitu pula perasaan Baek Soyeon. Apakah mereka bisa mengutarakannya? 

Ini kisah tentang mereka menghadapi waktu yang berlalu."
"Back Stage Kiss Scene","Yoon Ga-eul, aktris papan atas no.1 di Korea tiba-tiba mengumumkan pengunduran dirinya dari dunia hiburan!?
Kemudian dia memutuskan untuk tinggal di rumah yang ditinggali oleh dua pria?!"
"Onsaemiro","Haeri Jin adalah seorang aktris muda yang mencoba audisi drama bertema kerajaan Korea dahulu. Dia pun mengunjungi museum dan melihat pedupaan yang indah dan meminta permohonan. 

Dan tiba-tiba malamnya, muncul laki-laki berpakaian baju jaman dulu dan berkata kalau dia seoarang dewa?! Dan ternyata Haeri adalah reinkarnasi orang yang dikenal dewa itu?!"
"One Bite per Month","Ketika sebuah kos-kosan mengharuskan kalian untuk membayar bukan dengan menggunakan uang melainkan darah, apa kalian masih ingin ngekos disana?"
"Suhee0","Suhee tidak sengaja muncul di tayangan live adiknya dan ternyata para penonton menyukainya! Mereka meminta Suhee tampil live streaming lebih sering. Sebagai imbalannya para penonton memberi Suhee uang setiap kali tampil. Suhee berpikir untuk serius menjadi live streamer karena ia butuh uang untuk membantu ayahnya yang sakit serta membesarkan dua orang adiknya. Tetapi, apa benar itu adalah cara yang mudah untuk memperoleh uang? Atau... dia akan menemukan masalah?"
"Bad Word Baby","Kebayang gak sih, punya pacar yang pemarah,senang mengumpat, dan gualaaaknya minta ampun??? Udah gitu bundamu paling alergi sama kata-kata kasar! Jangan sampai deh mereka berdua bertemu!"
"Wind Breaker","Jahyun, seorang murid teladan di sekolah yang senang bersepeda sendirian. Namun, karena kemampuannya yang hebat dalam bersepeda, ia terus berhadapan dengan crew sepeda di sekitarnya. 

Drama jalanan tentang remaja-remaja yang memimpikan kebebasan!"
"The Remarriage Contract","Sebuah tawaran pernikahan kontrak dari mantan suami! apakah kau akan menerimanya...?"
"Pupus Putus Sekolah","Sekolah itu sungguh menyebalkan! Tapi Pupus ingin pintar, bisa ini bisa itu. Pintar tanpa sekolah. Harusnya itu impian yang wajar-wajar saja, kan?"
"Prince Maker","Setelah menanti selama 10 tahun, Sang Putri akhirnya diselamatkan oleh Sang Pangeran dari menara. Mereka pun akan menikah dan hidup bahagia... TUNGGU DULU! Sebelum mereka sempat memadu kasih, seorang penyihir mengutuk Sang Pangeran menjadi bocah kecil yang super menggemaskan. Sepertinya hidup bahagia selamanya harus menunggu dan petualangan kocak yang menggemaskan menanti di depan mata!"
"The Predator","Sangjin, seorang pria berusia 25 tahun, memiliki teman yang berubah menjadi monster di samping kamarnya. Untuk mencari mangsa monster itu, dia mencari manusia yang penuh keserakahan dan kebusukan setiap malam. Apakah Sangjin dan monster itu benar-benar penyelamat umat manusia? atau hanya sepasang predator?"
"A Summer Night's Dream","Yeoreum yang jadi guru praktik di sekolah lamanya, memiliki kemampuan untuk mempertemukan orang dalam mimpi.

Namun saat dia ingin menjodohkan muridnya dalam mimpi, murid cowoknya yang bernama Park Siwoo justru sadar dalam mimpinya dan menyadari gurunya punya kemampuan khusus!

Yeoreum pun jadi tidak bisa lepas dari Park Siwoo yang sudah tahu kemampuannya!"
"Jangan Mendekat","Yunju Song adalah seorang wanita karir yang memisahkan antara kehidupan profesional dan asmaranya. Setelah bertekad untuk tidak membiarkan pria untuk menghancurkan performa kerjanya, muncullah seorang pria yang akan mengubah segalanya!!"
"The Warrior Returns","Jeongsu Park, seorang pahlawan yang menyelamatkan dunia lain dengan tekad untuk balas dendam pada Kim Minsu
Kisah tragis tentang seorang pahlawan yang membunuh para pahlawan, Sebuah kenyataan yang dingin tanpa akhir yang bahagia."
"Leveling Up My Husband to the Max","Di kehidupan sebelumnya, Amber diperlakukan dingin oleh suaminya, Duke Thalesdo. Namun akhirnya keluarga mereka dituduh melakukan pemberontakan dan dibunuh oleh Kaisar. 

Saat Amber membuka mata, dia pun kembali ke 10 tahun lalu saat pertama kali menikah dengan Duke. Dan entah kenapa, sikap Duke yang sekarang benar-benar berubah dan mau mengikuti perkataan Amber?!"
"Secretary Out-of-Order","Kam Yueun menang lotre dan berniat berhenti bekerja sebagai sekretaris seorang presdir yang menyebalkan. Tetapi waktu dia mengajukan pengunduran diri, sang presdir melarangnya. Yueun terpaksa harus bekerja lagi, tapi anehnya... si presdir kenapa tiba-tiba baik padanya?"
"Bahagia Itu","Semua orang pasti pengen bahagia..
Kalau menurut kamu bahagia itu apa?"
"Doom Breaker","Fantasi aksi kesatria terkuat di muka bumi! Hidup kembali ke masa lalu untuk mengalahkan Dewa Iblis Tartarus.
""Walaupun ini pemberian dari dewa-dewa menjijikkan itu, kesempatan tetap saja kesempatan. Aku akan menggunakan kesempatan ini untuk balas dendam kepada dewa sialan itu!"""
"The World They're Dating In","Karena lelah hidup selalu ingin punya pacar, Sewool memutuskan untuk berhenti berusaha mencari pacar dan menjomblo saja. Tapi anehnya saat sedang tidak mencari, tiba-tiba dia bertemu dengan cowok yang sepertinya menarik hati. Bukan cuma satu, tapi TIGA! Mana yang akan dia pilih: penjahit tampan, sahabat, atau kawan kakaknya? Mungkin tidak ya Sewool tetap menjomblo?"
"Lovebirds Diary","Ketika asmara telah bersabda, di situlah kita akan dipertemukan. Kisah cinta Zahra dan Dharma yang mengalir mengikuti arahan semesta. Inikah yang dinamakan jodoh?"
"Journal of Terror","Ketika usianya 5 tahun, Prana sakit demam dan tiba-tiba mampu melihat makhluk-makhluk  yang tidak seharusnya dilihat. Mungkin ia berbagi pengelihatan dunia seberang dengan saudara kembarnya yang telah meninggal sejak mereka bayi. Prana pun mengabadikan pengalaman seramnya di dalam sebuah jurnal penuh misteri...."
"The Wife","Semua ini hanyalah permulaan dari balas dendamku untukmu. Tidak apa-apa bila kau tertawa sekarang. Tidak apa-apa bila aku harus menderita untuk sementara. Suatu hari, kau akan kuhancurkan."
"Their Story","Berkisah tentang Iki yang menyukai teman masa kecilnya Ina, Tama yang berusaha kabur dari kakak kelasnya Sena yang selalu mengajak duel karate, dan Nala yang selalu berhasil direpotkan oleh sang murid baru suka makan, Hannah."
