"judul_elex","sinopsis_elex"
"kungfu boy","Akhirnya, berkat bantuan Chinmi dan kekompakan penduduknya, Kanan terbebas dari Raja Jirai yang zalim . Chinmi pun kembali ke Kuil Dairin. Namun, belum lama berada di Kuil Dairin, Chinmi mendapat perintah dari Kaisar dan Jenderal Owlin untuk menyelidiki keadaan di Pulau Kapal Perang yang merupakan basis angkatan laut kerajaan. Ternyata Chinmi ditugaskan tidak sendirian, dia ditemani sahabat lamanya, yaitu Sie Fan dan Tan Tan. Petualangan ketiga sahabat ini pun dimulai..."
"kungfu boy legends","Saat para ahli bela diri yang berkumpul di alun-alun kota mulai berselisih lidah, Touza pun bergerak . Chinmi yang mengejarnya dipancing ke alun-alun itu, dan memprovokasi terjadinya perkelahian bersama para ahli bela diri. Para ahli bela diri yang kemampuannya tak diketahui ini menantang Chinmi lebih dulu, dan membuat keributan yang segera meledak ke segala penjuru alun-alun. Chinmi pun segera saja terkurung di tengah-tengah lautan perkelahian yang penuh hawa bermusuhan. Situasi ini menyulitkannya untuk mengenali hawa pembunuh dari pembunuh bayaran yang bersembunyi....Di saat itulah, sebuah senjata pembunuh terhunus tanpa menimbulkan suara sedikitpun!!"
"kurenai","Shinkuro Kurenai, seorang mediator sekaligus siswa SMA yang ditemani teman masa kecilnya, seorang informan, Ginko . Cerita dimulai dengan pengejaran stalker psikopat yang terus membuntuti mantan pacarnya. Shinkuro pun bertugas sebagai bodyguard dalam kasus kali ini."
"kurogane ichiba","Kurogane yang terlahir sebagai anak keturunan bangsawan konglomerat Ichiba, merasa sedih karena tidak pernah mempunyai sesuatu yang diperolehnya sendiri, dan memutuskan untuk masuk ke suatu sekolah . Di sana, semua hal dinilai dari uang yang dikumpulkan!! Apakah kondisi ini bisa membuatnya mandiri tanpa fasilitas sebagai anak konglomerat?"
"kuzumi, lihat aku, dong","Erika Sakura adalah siswi SMA paling populer di sekolahnya . Di kelas, dia diperlakukan sebagai bintang yang tak terjangkau yang membuat semua orang iri kepadanya. Namun, belakangan, dia jadi penasaran dengan anak laki-laki datar yang tak bisa membaca situasi, Kuzumi Ketika seorang gadis jatuh cinta pada laki-laki yang tak pernah berada dalam lingkup pergaulannya, cinta yang bertepuk sebelah tangan berubah menjadi lelucon! Komedi cinta gaya baru yang membuat dada bergemuruh!"
"la mosca","Hiiken berhasil menemukan Hina, Jenny, dan Kiyo dan ketiga lari ke hutan . Nakai yang ternyata berhasil kabur dari serangan Allegro pergi untuk mencari benda yang juga dicari Hiiken untuk mengobati Hina: suntikan penangkal kafein. Lalu apa yang sebenarnya terjadi pada Nakai sampai dia bisa kembali ke pulau Kashoo?"
"labirin cinta","Umi Ogihara sayang sekali pada sang kakak, Haruto, seorang aktor yang sedang naik daun . Apa pun yang terjadi, Umi adalah penggemar pertama Haruto. Rasa sayang Umi ini membawanya ke dalam pertengkaran dengan Raila Kishima, seorang penyanyi yang sama terkenalnya dengan Haruto! Umi tidak terima Raila menjelek-jelekkan Haruto! Gawatnya, Raila tahu-tahu pindah ke apartemen sebelah apartemen keluarga Ogihara. Waaah, bakal jadi apa hubungan mereka, ya?"
"last inning","Pertandingan Ansei melawan Saigaku terus berlanjut . Strategi Keisuke membuat Shintani menunjukkan sosoknya yang sesungguhnya sebagai seorang pitcher, membuat Saigaku kewalahan. Siapakah yang dapat memenangkan pertandingan menentukan menuju Koshien ini? Sementara itu, Yuriko mendapatkan fakta penting mengenai status Saigaku saat ini"
"legenda naga","Pesawat yang sedang menuju ke tempat darmawisata SMP, tempat Shiro dan Masumi sekolah, tiba-tiba diserang seekor naga . Keduanya diculik oleh naga itu dan dibawa ke zaman tiga kerajaan Cina, Sangokushi. Shiro dan Masumi tiba di daerah pertempuran yang terjadi pada tahun 207 Masehi, saat tanah Hsing Yeh, Hsing Chou, yang dikuasai oleh Liu Pei diserang oleh Tsao Jen, jenderal pasukan Tsao Tsao. Mereka ditolong oleh ahli siasat pasukan Liu Pei yang bernama Hsu Shu. Namun, ia terluka parah karena melindungi mereka. Shiro yang diperintah oleh Hsu Shu untuk bekerja sebagai ahli siasat pasukan Liu Pei, telah mengalahkanTsao Tsao dengan strategi yang bijaksana. Bagaimana nasib mereka berdua di zaman peperangan itu?"
"les miserables","Les Miserables adalah maha karya yang begitu dicintai oleh seluruh dunia dan telah disadur ke dalam berbagai macam bentuk seperti cerita anak, sandiwara panggung, musikal, dan film . Namun, banyak yang berpendapat bahwa sangat sulit untuk memahami dan membaca habis naskah aslinya yang merupakan buah pena dari sastrawan besar Victor Hugo. Dan kini, komikus Takahiro ARAI yang terkenal dengan kemampuan menciptakan komik yang luar biasa, telah mengadaptasi naskah asli tersebut ke dalam bentuk komik!! Kisah tentang orang-orang dengan harga diri tinggi yang mempertaruhkan nyawa demi mewujudkan Tujuan yang mereka yakini itu akan ia hidupkan kembali secara detail melalui goresan-goresan tinta yang menakjubkan!"
"lets have some soup","Ichiro Zen, pelajar SMP yang dibesarkan oleh ayahnya . Sarapannya selalu onigiri dan miso instan dari toko serba ada Yae, teman masa kecilnya yang melihat itu memutuskan akan memasakkan sarapan untuknya Sebuah komik tentang sup miso yang menghangatkan hati dan menggugah selera siapa pun."
"letter bee","Di dunia Amberworld, tak ada matahari, tentu saja tak ada siang hari . Sebagai penerang, ada matahari buatan di atas ibukota Akatsuki, tapi matahari kecil ini hanya dibuat untuk menyinari ibukota saja. Di daerah luar yang selamanya remang-remang, berkeliaranlah para monster yang disebut Gaichu. Membantu para penduduk yang terpisah ini untuk saling berhubungan adalah tugas para Letter Bee, para tukang pos yang siap menempuh bahaya untuk menyampaikan perasaan."
"library war","Perpustakaan Musashi diminta untuk membantu Ibaraki . Alasannya adalah karena galeri seni yang menyatu dengan perpustakaan akan menggelar pameran dengan suatu karya yang sangat menyinggung badan perbaikan media. Ternyata kondisi yang mereka temui di Ibaraki lebih buruk dari yang mereka kira, dan asalnya dari dalam perpustakaan itu sendiri."
"light novel detektif conan","Sepucuk surat tantangan dikirimkan kepada Shinichi Kudo, seorang detektif SMA yang terus sukses memecahkan kasus-kasus sulit! Aku akan melakukan penculikan saat karyawisata SMA Teitan . Pertandingan dengan taruhan nyawa antara Shinichi dan pelaku yang dengan berani memberi peringatan sebelum melakukan kejahatannya pun dimulai!"
"light novel naruto","Sebuah kenyataan mengejutkan tentang Itachi terungkap tepat setelah Sasuke berhasil membunuhnya dan mendapatkan Mangekyo Sharingan . Berbekalkan surat pesanan obat peninggalan Itachi, Sasuke berangkat menuju ke Desa Rokoku untuk mencari kebenaran mengenai sang kakak. Di sanalah dia bertemu dengan kakak beradik pemilik toko obat langganan Itachi, Reishi dan Kina Kodon. Kebenaran seperti apakah yang dilihatnya di sana? Inilah kisah di balik nama Taka, sekaligus prolog babak pembalasan dendam baru Sasuke!!"
"light novel one piece","Loguetown, kota awal dan akhir . Di situlah tempat Raja Bajak Laut, Gold Roger, lahir dan dieksekusi. Para pemilik kekuatan Buah Iblis tanpa sengaja berkumpul di kota itu! Sebuah bencana besar menimpa Luffy dan mengancam nyawanya! Inilah kisah di mana para bajak laut, pemburu hadiah, dan mariner saling bentrok dan menimbulkan perseteruan besar!"
"linda of the rain water","Setiap pulang sekolah, beberapa murid berkumpul di gedung sekolah tua yang tak terpakai lagi . Mereka adalah anggota perkumpulan penyuka dunia mistis yang berada di gedung itu dengan menyamar sebagai anggota klub kerajinan tangan. Setelah mempraktikkan cara membuat boneka dari sebuah buku yang mereka temukan di toko buku tua, mereka berhasil membuat boneka yang sangat mirip dengan Linda, ketua klub mereka. Boneka yang terbuat dari air hujan tersebut memiliki perasaan, dapat berbicara, tertawa dan jatuh cinta. Inilah awal dari kegiatan klub yang penuh keajaiban!"
"little marchen","Peri Rabiko punya keahlian meramal dengan kotoran burung . Tujuan utamanya adalah memburu mata Date. Maria Date, 13 tahun, introvert dan tidak mempunyai teman, namun dia sangat menyukai dongeng peri. Setelah kepalanya terkena lemparan buku fairy, hartanya yang paling berharga, Date jadi bisa melihat para peri Rabiko!! Date pun senang, namun kini dia menjadi target para Rabiko yang memburu mata, yang bisa melihat peri! Date, bersiaplah!!!"
"livingstone","Di dunia ini, 90% garis kehidupan manusia sudah ditentukan . Layaknya DNA, rancangan jiwa membentuk kehidupan manusia. Kematian yang bertentangan dengan rancangan tersebut berpotensi mengacaukan jiwa-jiwa lain di dunia. Sakurai dan Amano dari Livingstone Collection and Cleaning Service bertugas mencegah situasi semacam itu, termasuk dengan menyingkirkan manusia yang rancangannya tak bisa lagi dikoreksi"
"love and warship","Kana Endo, seorang gadis yang ceria dan tinggal di sebuah kota kecil, Kobune . Diam-diam Kana menyukai pak wali kota, Koichi Minato, yang tampan. Di samping itu, Kana juga memiliki sahabat yang selalu ingin tahu sesuatu, Akira namanya. Bersama sahabatnya ini, Kana mencoba mencari tahu apa pun tentang pria tampan yang ia sukai itu"
"love blue between twin and glasses","SIAPA YANG TERPANTUL DI LENSAMU? Semuanya dibagi . Itulah janji kembar bersaudara ini... Sakura, sang adik yang selalu bersemangat dan ceria, membantu mewujudkan cinta pertama Momo, kakak kebanggaannya yang pendiam. Tapi, apakah cowok yang muncul di depan Sakura, yang sedang menyamar jadi Momo, adalah teman sekelas Sakura...!?"
"love is the devil","Cinta antara putri yang rapuh dengan devils butler!! Haruru mengagumi Isshin yang bersekolah di sekolah putra terkemuka . Suatu hari, Isshin muncul di hadapan Haruru sebagai butler! Fashion, make up, manner.. Semua diajarkan oleh Isshin, dan membuat hari-hari Haruru selalu berdebar-debar. Tetapi, entah mengapa, ada firasat berbahaya dalam diri Isshin"
"lucifer s right hand","Tato malaikat jatuh yang terukir di lengan kanannya menandakan kegagalannya sebagai dokter . Tapi, setelah bertemu Dokter Minatono, Katsumi memutuskan untuk kembali menjadi dokter. Selagi menjaga klinik Minatono saat sang dokter senior terbaring di rumah sakit, dia menemui banyak pasien yang tak biasa. Salah satunya seorang mantan pembalap sepeda yang mengalami ketergantungan pada alkohol..."
"lucky luke","Lucky Luke tidak sengaja bertemu dengan sepasang suami-istri yang ingin menaklukan barat dengan pergi ke California . Sayangnya usaha mereka terhalang oleh arus sungat yang cukup deras. Satu-satunya cara adalah dengan memakai pelampung yang diikatkan di samping kereta kuda. Lucky luke dengan baik hati menolong mereka menyeberangi sungai. Namun hal berbahaya lain siap menunggu mereka setibanya di seberang sungai."
"magic book to start from zero","Dunia mengenal ilmu yang disebut sihir, yaitu kekuatan yang didapat oleh penyihir dengan melakukan transaksi berbahaya dengan iblis . Tapi mereka belum tahu ilmu baru yang bisa memunculkan kekuatan itu dengan mudah dan tanpa bahaya. Seorang prajurit setengah hewan yang sehari-harinya selalu diburu penyihir, bertemu gadis misterius yang menyebut dirinya Zero. Mereka mengikat perjanjian untuk merebut kembali sebuah buku sihir yang meski dibuat dengan tujuan yang baik, ternyata malah membahayakan dunia."
"magister negi magi","Kehancuran dunia sihir dimulai! Satu persatu wilayahnya terhapus oleh badai tornado sihir . Negi dan Fate pun akhirnya berhadapan. Pertarungan antara dua musuh bebuyutan ini pun tak terelakkan! Sementara itu, di batas antara dunia sihir dan dunia nyata perlahan memudar..."
"martial arts","Inilah tanah suci bagi para pendekar, Perguruan Musou di Shangrila!! Lou Wei, murid kelas 1, tersesat ke sebuah ruangan misterius dan mendadak seekor naga raksasa menyerangnya! Dan yang menolong Lou adalah seorang anak laki-laki yang terkurung di ruangan itu selama 10 tahun yang bernama Kid!! Mereka berdua pun mencoba bekerja sama untuk keluar dari sana, tetapi apa mereka berhasil!? Kisah bela diri yang belum pernah ada sebelumnya ini, baru dimulai!!"
"master grape","Yuta Sakura berjumpa dengan Takemichi Umezaki, remaja yang mengeluarkan teknik aneh dengan memakai senjata yang aneh kenjutsu, sojutsu, bojutsu, jojutsu, apa pun itu! Aksi pertarungan berbagai macam senjata dimulai di sini!"
"matinee and soiree","Aku akan membuktikan diriku di atas panggung ini! Aktor panggung pemula, Makoto Mitsuya, selalu berusaha untuk melepaskan diri dari bayang-bayang sang kakak, Miyuki, aktor terkenal yang meninggal lima tahun lalu . Usahanya mulai membuahkan hasil ketika dia mendapatkan peran yang dulu konon diperuntukkan bagi kakaknya. Namun, sebuah fenomena tak terduga terjadi dan dunia yang dikenal Makoto tiba-tiba berubah, dimulai dari kemunculan kembali sang kakak..."
"memoir of vanitas","Cerita tentang buku sihir yang bekerja secara mekanis, yang menyebarkan kutukan pada para vampir . Apa kau pernah mendengarnya? Sekarang, dipandu oleh Buku Vanitas, roda gigi cerita ini mulai berputar."
"midnight children s doctor","Tomomi Asahina sangat mengagumi dan berterima kasih pada Daigo Tsuchikado, dokter yang menolong nyawa adik lelakinya, 17 tahun lalu, sehingga dia pun menjadi dokter anak . Tomomi mulai bekerja di klinik anak Tsuchikado sesuai keinginannya, tapi ternyata semua tidak berjalan mulus... Saat ini klinik medis anak di Jepang sedang di ambang krisis karena mengalami kekurangan dokter yang kronis. Hari ini juga Tomomi berjuang keras untuk anak-anak yang mengemban masa depan."
"min-min","Ichiya adalah siswa kelas 2 SMA yang dicampakkan kekasihnya karena miskin . setelah dia mencium boneka yang dipungutnya di pinggir jalan, boneka tersebut berubah menjadi seorang gadis yang bernama Minmin. hal yang lebih mengejutkan lagi, gadis itu mengaku bahwa dirinya adalah penyihir!?"
"miracle girl","Mikage dan Tomomi adalah anak kembar . Kebanyakan teman mereka tidak tahu. Tapi itu bukan satu-satunya rahasia. Mereka punya kekuatan supernatural."
"miss mini market","Seorang gadis sempurna yang dididik disiplin sejak kecil dan harus menjaga sikap seperti tuan putri ternyata memiliki sebuah rahasia! Dia suka jajan di mini market! Selain suka, ternyata dia handal mengubah jajanan mini market menjadi makanan yang luar biasa! Inilah komik kuliner dengan komedi yang bikin kamu jadi ingin jajan di mini market!"
"miss otomurai","Drama yang dimulai dari upacara pemakaman . Aktris tidak laku, Izumi Otomura (28 tahun), selalu memiliki kebanggaan diri tinggi meski biasanya hanya berperan sebagai korban pembunuhan. Pada suatu hari, dia ditawari menjadi pembawa acara karena suaranya dianggap menghanyutkan. Tanpa berpikir panjang Otomura menerima tawaran itu, namun begitu tiba di lokasi, ternyata acara yang disangkanya upacara pernikahan, justru pemakaman!! Mengingat itu upacara pemakaman pertama yang dihadirinya seumur hidup, mampukah Otomura melaksanakan tugasnya dengan baik!? Dan drama baru seperti apakah yang dilihatnya di sana!?"
"mob psycho 100","Nama si anak lelaki yang akan meledak begitu barometernya jadi 100 itu adalah Mob!! Shigeo Kageyama (alias Mob), seorang anak lelaki kelas 2 SMP yang mendambakan masa muda yang normal, memiliki sebuah kekuatan istimewa, yaitu kekuatan supernatural!! Berbagai macam orang berusaha memanfaatkan kekuatannya, mulai dari cenayang gadungan, sekte mencurigakan, dan lainnya, sehingga pada suatu hari sesuatu dalam diri Mob pun mulai bangkit!!"
"moment by moment","Juri tertangkap oleh anggota Sekte Cinta Sejati ketika hendak mengambil batu utama di rumah kakeknya . Ternyata, Juri memiliki kemampuan yang dia sendiri tidak menyadarinya, yaitu mengusir orang yang bergerak dari dunia diam dan membuatnya berhenti. Denagn kemampuannya itu, bisakah Juri lolos dari Sekte Cinta Sejati dan membawa kabur batu pada kakeknya!?"
"monochrome kids","Kureha yang selalu pindah sekolah akhirnya memutuskan untuk mendaftar masuk ke Sekolah Swasta Kedamono . Dia tergiur dengan tawaran yang diberikan sekolah itu, yaitu beasiswa dan biaya hidup ditangggung pihak sekolah bagi pendaftar pertama. Tapi, Kureha menemukan sebuah kejanggalan pada sekolah yang murid-muridnya berseragam seperti orang sedang cosplay ini."
"montage","Kasus perampokan terbesar senilai 300 juta yen yang terjadi pada 10 Desember 1968 yang belum terpecahkan pun mencapai masa kedaluwarsa . Lalu pada tahun 2004, seorang anak laki-laki menemukan seorang polisi tua dalam keadaan sekarat, yang memberitahunya bahwa ayahnya adalah sang pelaku perampokan! Anak tersebut pun tumbuh dewasa dan terlibat dalam pusaran misteri bernilai 300 juta yen tersebut..."
"moonlight act","Gekko semakin sibuk dalam kegiatan mengeksekusi para tokoh dongeng yang terkena moonstruck . Kemudian, muncullah seorang gadis cantik dan kucing bersepatu boots di hadapan Gekko!! Duo itu mengklaim diri sebagai eksekutor yang sesungguhnya dan menuduh gekko sebagai eksekutor palsu yang telah bertindak melawan hukum. Jadi, siapakah sang eksekutor asli?"
"more a flower than a flower","Walau sudah menyatakan cinta, kento tidak juga mendapatkan jawaban yang pasti dari Hazuki . bahkan hubungan keduanya terasa semakin jauh. Di tengah kebingungan itu, Kento pergi ke kota Akashi untuk mengumpulkan bahan terkait drama tv baru yang akan dibintanginya. Pengalaman apakah yang akan didapat Kento selama mengelilingi kota Akashi?"
"moriarty the patriot","Pada puncak kejayaannya di abad 19, Inggris menguasai 1/4 dunia dan dikatakan matahari tak pernah tenggelam di tanah kekuasaannya . Namun negara besar ini memiliki sistem strata sosial yang memisahkan antara segelintir bangsawan yang memiliki kekuasaan, dan rakyat yang hidup tertindas. Seorang putra bangsawan yang tak setuju dengan hal itu mengadopsi dua anak yatim piatu dalam keluarganya dan mereka membuat rencana besar untuk mengubah dunia. Inilah kisah di balik layar Profesor Moriarty, si musuh besar Sherlock Holmes."
"mr namelessness","Sekarang, ada 3 hal yang aku khawatirkan . Pertama, begitu sadar aku ada di sini... Kedua, aku tidak ingat apaapa... Ketiga, di depan mataku ada anak perempuan memegang benda tajam... Di suatu tempat, saat mendapatkan kesadaran kembali, pemandangan tidak biasa terbentang di depan mata. Panggungnya di masa depan, 17 Mei 2024. Cerita seputar pengungkapan misteri jati diri `Aku` dan dimulai! Misteri inovatif yang mempertanyakan era baru!!"
"muhyo and roji","Muhyo, yang mempunyai kemampuan untuk memberi hukuman pada roh yang berdosa (mencederai manusia) dan mengirim mereka ke dunia lain, bersama asistennya Roji . Mereka membantu manusia yang diganggu roh Pintu menuju dunia horor telah dibuka!!"
"mushibugyo","Dikisahkan Jepang zaman dahulu diserang serangga raksasa yang memangsa manusia . Pemerintah membentuk kantor Mushibugyou yang merekrut para pendekar tangguh untuk memeranginya, termasuk Jinbee Tsukishima, samurai muda yang menawarkan diri jadi anggota baru Mushibugyou menggantikan ayahnya yang cacat karena kesalahannya dulu."
"my babysitters a devil","Seorang anak manusia ditemukan di istana Raja Iblis! Berkat kelucuannya, Raja Iblis yang membenci manusia harus merawat Maris, si anak manusia . Hari-hari Maris di dunia yang penuh iblis dimulai di sini!"
"my snowman fiancee","Rumah Ichika tiba-tiba kedatangan 2 cowok cakep yang ditemukannya tergeletak di tengah jalan . Sang kakak Togo yang flamboyan dan sang adik Yukinari yang pendiam. Dan mereka berdua akan tinggal serumah dengan Ichika!! Tinggal serumah... serius!? Tapi, ada yang aneh dengan (hubungan) kakak-beradik itu...!!"
"my youth romantic comedy","Masa remaja penuh dengan kepalsuan . Orang-orang yang berkelompok hidup dalam kemunafikan. Begitulah pikiran Hachiman Hachigaya sehingga dia diseret oleh gurunya ke Klub Pelayanan, tempat dia akan dipaksa belajar untuk bersosialisasi bersama Yukino Yukinoshita, gadis cantik dan cerdas yang juga sama-sama tak cocok untuk hidup berkelompok."
"nanoha sweet bakery","Toko kue Nanoha yang berdiri di atas bukit dihuni oleh tiga bersaudara Nanoha; Thyme si anak sulung yang seenaknya, Sage si anak tengah yang gigih dan hobi mengumpulkan kupon diskon, serta si bungsu yang bagaikan malaikat, Pasery . Saksikanlah drama komedi ketiga bersaudara ini!!"
"naruto","Di tengah pertarungan Naruto dkk semakin sengit, Sasuke dkk sampai di Desa Konohagakure . Untuk mengetahui seluruh kebenaran, Sasuke membangkitkan para Hokage dengan edo tensei milik Orochimaru! Seperti apakah sejarah desa serta shinobi yang akan diceritakan Hashirama Senju, si Hokage Pertama!?"
"naruto the movie","Naruto dan kawan-kawannya di kelompok 7 ditugasi misi peringkat A untuk menjaga seorang aktris bernama Yukie Fujikaze . Lokasi pengambilan gambar yang mereka tuju adalah Negeri Salju, dan yang menanti Naruto dan kawan-kawan di sana adalah trio ninja dengan senjata penuh trik!! Mengapa mereka mengincar Yukie!? Lalu, apakah Naruto dan kawan-kawannya mampu melindungi Yukie!?"
"natsume yujincho","Saat menghindari kejaran sekelompok siluman yang mengincar Yujincho, Natsume dan Nyanko sensei tak sengaja melihat siluman raksasa milik Matoba menyerang dan menyegel salah satu siluman pengejarnya . Nyanko sensei juga tiba-tiba lenyap dan Natsume tertangkap! Apa sebenarnya tujuan Matoba?"
"navi runa","Runa Rindo, anak kelas 4 SD . Runa ditinggalkan saat dia masih bayi, kemudian dibesarkan di Hoshi No Ko Gakuen. Suatu malam, tiba-tiba muncul peri yang mengatakan, kalau dirinya adalah SANG ANAK LEGENDA, yang memiliki kekuatan besar!"
"necrolog","Pemuda jurnalis, Song Yu Sheng, demi membangkitkan kembali teman masa kecilnya, Kak Xue, yang sudah berubah menjadi Jiang Shi (vampir), berguru kepada Taoist Hu Cai Liang dan dia diminta Hu mencari orang-orang Taoist berbakat . Sejak itu kejadian-kejadian aneh terus terjadi di sekeliling Song!"
"new black swinder conclusion","Kurosaki pergi dari hadapan Katsuragi demi memangsa musuh balas dendamnya, Hojo . Namun lawannya adalah pejabat di bank terbesar di Jepang. Jebakan yang setengah-setengah justru akan membuat Kurosaki yang terbunuh. Oleh karena itu Kurosaki bertarung dalam skala yang sangat besar dengan melibatkan dunia politik, bisnis, dan birokrat!!"
"new black swindler","Secara tidak sengaja, Kurosaki bertemu korban penipuan pinjaman yang dilakukan salah satu kantor cabang Bank Himawari . Kepala kantor cabang tersebut ternyata dekat dengan Hojo, deputi dari Bank Himawari Pusat. Mereka pun rutin mengadakan rapat tertutup dengan beberapa cabang lainnya. Apa yang sebenarnya Hojo rencanakan dalam rapat-rapat tertutup tersebut?"
"nisekoi false love","Pada awal semester 1 kelas 10, seorang perempuan yang terlambat menabrak Raku, hingga melukai hidungnya dan menjatuhkan liontinnya yang hilang di rerumputan . Raku yang kesal pun bercerita tentang tabrakan itu pada kedua temannya, Sh Maiko dan Kosaki Onodera. Saat pelajaran dimulai, guru kelas mereka, Kyoko mengumumkan datangnya murid baru dari Amerika Serikat, Chitoge Kirisaki, gadis berambut pirang yang menabrak Raku tadi pagi. Seketika, Raku langsung memarahi Chitoge karena menabraknya tadi pagi, tetapi Kyoko menganggap mereka sudah saling kenal dan menugaskan Raku untuk mengenalkan gedung SMA Bonyari kepada Chitoge. Saat Raku menyadari liontinnya telah hilang, ia langsung memarahi Chitoge lagi, meminta pertanggungjawaban atas kehilangan tersebut. Chitoge pun akhirnya berjanji akan mencarikan liontin Raku sampai dapat, kemudian mereka tak akan pernah berbicara lagi. Singkat cerita, rumor pun menyebar bahwa Raku dan Chitoge berpacaran, dan hal ini membuat mereka semakin kesal."
"no exit","TERNYATA SEKOLAH IMPIAN ITU, SEBUAH PENJARA! Yuhi Akabane, seorang gadis 15 tahun yang bercita-cita menjadi seorang aktris . Impian akan segera terwujud karena ia diterima di `D. A. Academy`, sebuah sekolah yang sangat bergengsi, yang melatih murid-muridnya untuk menjadi artis. Banyak aktor dan aktris terkenal lulusan dari sekolah ini. Awalnya Yuhi sangat bersemangat, namun ia mulai merasakan sedikit keanehan. Apa yang terjadi dengan guru mereka, Otome Kasumi? Aktingnya menjadi terlalu realistis untuk dianggap sebagai akting. Segalanya menjadi sangat menyeramkan!"
"non non biyori","Hotaru, seorang gadis kelas 5 SD, baru saja pindah bersama keluarganya ke sebuah kota kecil di pedalaman . Di kota yang penduduknya sangat sedikit ini, Hotaru belajar di sekolah yang muridnya hanya lima orang saja, dari berbagai usia. Inilah kisah hidup yang santai dan damai dengan dikelilingi oleh alam yang masih asri jauh dari hiruk pikuk perkotaan."
"noragami","Yato menekan Yukine dengan menggunakan sukma gadis itu untuk membunuh bukan menyelamatkannya, karena Yukine telah mencuri skateboard yang memiliki mata . Ketika Yato berusaha menghentikannya, Hiyori muncul untuk menutupi kesalahanYukine dengan mengklaim dia yang sudah membelikannya. Bersamaan dengan Dewa Bishamon, yang memegang dendam pribadi terhadap dirinya, muncul dan menyerang Yato."
"nurse aoi","Apa kau ingin menyia-nyiakan hidup perawat baru itu? Tiba-tiba Rumah Sakit Daerah Akane kedatangan pasien yang sangat membutuhkan pertolongan darurat . Tapi, karena kesalahan perawat baru, pasien itu hampir saja meninggal. Bagaimana nasib perawat itu dan Aoi yang menjadi penanggung jawab saat itu?"
"one piece","Haoshoku . Para pemeran utama telah berkumpul di atap. Luffy dan kawan-kawan berhadapan menantang Kaido & Mom. Apa ada cara untuk menang menghadapi aliansi terkuat!? Seperti apa masa depan yang sedang menanti dalam duel ekstrem frontal ini!? Guncangan super dahsyat melanda Onigashima!! Simak kisah petualangan di lautan, One Piece!!"
"one piece party","One Piece Spin-off Gag . Telah hadir komik baru! Sebuah koleksi lima cerita pendek yang kocak namun tetap seru! Petualangan besar Kru Topi Jerami bersama semua karakter dalam One Piece pun dimulai!"
"one punch man","1pukulan mematikan! Saking kuatnya, Saitama menjadi hero yang bisa mengalahkan monster mengerikan hanya dengan pukulan . Legenda hero terkuat yang cuek pun muncul! Karena tidak puas, Saitama terus mencari lawan terkuat yang bisa dihadapinya dengan tidak hanya dengan 1 pukulan. Berhasilkah dia menemukannya? Mari kita ikuti petualangan Saitama yang seru dan kocak!"
"one week friends","Tapi ... ingatanku tentang temanku akan hilang dalam satu minggu Kenyataan itu diungkapkan oleh teman sekelasnya yang selalu menyendiri, Kaori Fujimiya. Meski begitu, Yuuki Hase tetap berharap untuk menjadi temannya. Melalui kenangan yang mereka bangun bersama dalam satu minggu, keduanya menjadi teman. berkali-kali, berkali-kali... Inilah awal dari kisah masa muda bertema teman."
"one winged shuttle","Kamu tamengnya, aku pedangnya . Saat SMP, Kaito Tamaki dijuluki Tameng Terkuat klub bulu tangkis dengan Yu Kamijima yang kini jadi wakil Jepang termuda untuk Olimpiade, sebagai pasangan gandanya. Namun, dia memilih SMA yang berbeda dengan SMA Kamijima dan kini menjauh dari bulu tangkis. Apa yang akan terjadi ketika dia menemukan bakat terpendam yang akan sangat berguna dalam bulu tangkis dari seorang pemuda suram dan aneh bernama Kenshiro Hochi?"
"otoboke section chief","Otoboke seorang kepala seksi yang kehidupan sehari-harinya selalu disibukkan dengan pekerjaan . Namun ia memeliki keluarga yang sangat menyayanginya. Tingkahnya sangat lugu dan kocak."
"otomen","Asuka menyambut upacara kelulusannya dengan tetap menyangkal sifat Otomen yang dia miliki . Bukan hanya itu saja, karena mengkhawatirkan ibunya, Asuka akan membacakan pidato tentang sifat lelaki yang sama sekali tidak cocok dengan dirinya. Sekarang adalah giliran teman-teman yang dia sayangi yang datang menolongnya keluar."
"ouroboros","Tatsuya Danno dijebak dan ditangkap sebagai tersangka pembunuhan Dobashi, yakuza dari Grup Udo . Demi membebaskan partnernya yang terancam, Ikuo Ryuzaki pun mengadakan investigasi untuk mencari pelaku sesungguhnya. Namun, kasus mencengangkan kembali menghadang Ikuo! Bisakah Ikuo memecahkannya? Siapakah dalang di balik perangkap yang menjerat Tatsuya?"
"over drive","Di Training Camp yang dipenuhi pembalap tangguh, Mikoto tidak bisa mengembangkan kemampuan dirinya sendiri! penyebabnya terletak pada gaya melajunya yang menggunakan Gear berat . untuk mengubah gaya melajunya itu, Mikoto melakukan latihan ekstra berat dengan sepeda yang digunakan untuk Keirin yang diberitahu oleh Yuki. kemudian hari balapan akhirnya tiba, dan dikarenakan ulah Yuki, yang terpilih menjadi Anchor Sakuragaoka adalah Mikoto!! Tirai balapan takdir yang bercampur aduk dengan harapan dan kecemasan pun diangkat!"
"over rev","Kariya, satu dari duo pick up pencuri, berkeliling gunung untuk menantang para pembalap jalanan dan menjadikannya objek taruhan, untuk mengumpulkan uang dengan mudah . Demi menghentikan hal itu, Ryoko menantangnya battle dengan pick up Yaso yang dimodifikasi..."
